provision_id,van_ban,doc_code,chuong,dieu,tieu_de_dieu,khoan,diem,noi_dung,hieu_luc,ngay_hieu_luc,ngay_het_hieu_luc,thay_the_boi,thay_the_cho,van_ban_sua_doi,ghi_chu
10_2012_QH13__D3__K9,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương I,3,Giải thích từ ngữ,9,,"Điều 3. Giải thích từ ngữ
9. Tranh chấp lao động tập thể về lợi ích là tranh chấp lao động phát sinh từ
việc tập thể lao động yêu cầu xác lập các điều kiện lao động mới so với quy định
của pháp luật về lao động, thoả ước lao động tập thể, nội quy lao động hoặc các
quy chế, thoả thuận hợp pháp khác trong quá trình thương lượng giữa tập thể lao
động với người sử dụng lao động.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D3__K10,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương I,3,Giải thích từ ngữ,10,,"Điều 3. Giải thích từ ngữ
10. Cưỡng bức lao động là việc dùng vũ lực, đe dọa dùng vũ lực hoặc các thủ
đoạn khác nhằm buộc người khác lao động trái ý muốn của họ.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D4__K1,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương I,4,Chính sách của Nhà nước về lao động,1,,"Điều 4. Chính sách của Nhà nước về lao động
1. Bảo đảm quyền và lợi ích chính đáng của người lao động; khuyến khích
những thoả thuận bảo đảm cho người lao động có những điều kiện thuận lợi hơn so
với quy định của pháp luật về lao động; có chính sách để người lao động mua cổ
phần, góp vốn phát triển sản xuất, kinh doanh.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D4__K2,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương I,4,Chính sách của Nhà nước về lao động,2,,"Điều 4. Chính sách của Nhà nước về lao động
2. Bảo đảm quyền và lợi ích hợp pháp của người sử dụng lao động, quản lý lao
động đúng pháp luật, dân chủ, công bằng, văn minh và nâng cao trách nhiệm xã hội.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D4__K3,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương I,4,Chính sách của Nhà nước về lao động,3,,"Điều 4. Chính sách của Nhà nước về lao động
3. Tạo điều kiện thuận lợi đối với hoạt động tạo ra việc làm, tự tạo việc làm, dạy
nghề và học nghề để có việc làm; hoạt động sản xuất, kinh doanh thu hút nhiều lao
động.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D4__K4,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương I,4,Chính sách của Nhà nước về lao động,4,,"Điều 4. Chính sách của Nhà nước về lao động
4. Có chính sách phát triển, phân bố nguồn nhân lực; dạy nghề, đào tạo, bồi dưỡng
và nâng cao trình độ kỹ năng nghề cho người lao động, ưu đãi đối với người lao động có
trình độ chuyên môn, kỹ thuật cao đáp ứng yêu cầu của sự nghiệp công nghiệp hóa, hiện
đại hóa đất nước.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D4__K5,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương I,4,Chính sách của Nhà nước về lao động,5,,"Điều 4. Chính sách của Nhà nước về lao động
5. Có chính sách phát triển thị trường lao động, đa dạng các hình thức kết nối
cung cầu lao động.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D4__K6,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương I,4,Chính sách của Nhà nước về lao động,6,,"Điều 4. Chính sách của Nhà nước về lao động
6. Hướng dẫn người lao động và người sử dụng lao động đối thoại, thương
lượng tập thể, xây dựng quan hệ lao động hài hoà, ổn định và tiến bộ.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D4__K7,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương I,4,Chính sách của Nhà nước về lao động,7,,"Điều 4. Chính sách của Nhà nước về lao động
7. Bảo đảm nguyên tắc bình đẳng giới; quy định chế độ lao động và chính
sách xã hội nhằm bảo vệ lao động nữ, lao động là người khuyết tật, người lao động
cao tuổi, lao động chưa thành niên.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D5__K1,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương I,5,Quyền và nghĩa vụ của người lao động,1,"a, b, c, d, đ","Điều 5. Quyền và nghĩa vụ của người lao động
1. Người lao động có các quyền sau đây:
a) Làm việc, tự do lựa chọn việc làm, nghề nghiệp, học nghề, nâng cao trình
độ nghề nghiệp và không bị phân biệt đối xử;
b) Hưởng lương phù hợp với trình độ kỹ năng nghề trên cơ sở thoả thuận với
người sử dụng lao động; được bảo hộ lao động, làm việc trong điều kiện bảo đảm về
an toàn lao động, vệ sinh lao động; nghỉ theo chế độ, nghỉ hằng năm có lương và được
hưởng phúc lợi tập thể;
c) Thành lập, gia nhập, hoạt động công đoàn, tổ chức nghề nghiệp và tổ chức
khác theo quy định của pháp luật; yêu cầu và tham gia đối thoại với người sử dụng
lao động, thực hiện quy chế dân chủ và được tham vấn tại nơi làm việc để bảo vệ
quyền và lợi ích hợp pháp của mình; tham gia quản lý theo nội quy của người sử
dụng lao động;
d) Đơn phương chấm dứt hợp đồng lao động theo quy định của pháp luật;
đ) Đình công.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
